Continent,Subregion,Country,Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Europe,Southern Europe,Gibraltar,GIB,,,,,,,,,, -   ,1,,,,,,
Europe,Southern Europe,Greece,GRC,,132,94,122,111,132,110,130,144,152,176,184,166,153,107,93,84
Europe,Southern Europe,Holy See,,,,,,,,,,, -   , -   , -   , -   , -   , -   , -   ,
Europe,Southern Europe,Italy,ITA,766,709,644,719,714,610,625,631,615,590,529,552,530,502,475,469,400
Europe,Southern Europe,Kosovo,KSV,,,,,,,,,113,73,106,62,90,41,41,30,29
Europe,Southern Europe,Malta,MLT,4,6,6, -   ,7,4, -   ,4,6,4,4,3,12,7,6,4,
Europe,Southern Europe,Montenegro,MNE,,,27,20,14,22,25,12,24,21,15,21,17,10,20,17,28
Europe,Southern Europe,Portugal,PRT,116,105,119,149,144,135,155,185,124,130,124,114,122,144,92,100,66
Europe,Southern Europe,San Marino,SMR, -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
Europe,Southern Europe,Serbia,SRB,228,243,200,176,164,147,156,171,140,154,130,135,111,142,120,104,123
Europe,Southern Europe,Slovenia,SVN,36,28,36,21,27,20,12,24,10,13,15,16,14,12,17,20,10
Europe,Southern Europe,Spain,ESP,553,577,564,587,520,518,476,482,407,412,401,385,364,302,323,302,294
Europe,Southern Europe,Macedonia,MKD,47,55,60,70,49,44,46,42,35,35,43,30,29,22,33,,
Europe,Western Europe,Austria,AUT,82,70,65,50,59,54,61,45,58,51,58,75,79,62,45,46,57
Europe,Western Europe,Belgium,BEL,212,282,319,230,268,221,221,211,203,189,189,214,205,205,208,220,
Europe,Western Europe,France,FRA,"1,051","1,047","1,119",987,990,976,879,993,"1,021",819,796,856,784,777,792,"1,017",875
Europe,Western Europe,Germany,DEU,"1,015",925,955,859,868,869,808,757,722,803,793,738,659,682,716,682,963
Europe,Western Europe,Liechtenstein,LIE, -   , -   , -   , -   ,1, -   , -   , -   ,1, -   ,1, -   , -   , -   ,1, -   , -   
Europe,Western Europe,Luxembourg,LUX,4,9,6,3,2,4,7,7,8,5,10,4, -   ,1,4,,
Europe,Western Europe,Monaco,MCO,,1,,,1,1,1, -   , -   , -   , -   , -   , -   , -   ,, -   ,
Europe,Western Europe,Netherlands,NLD,180,202,195,202,191,174,128,143,150,154,144,143,145,125,123,104,94
Europe,Western Europe,Switzerland,CHE,69,86,86,73,78,75,60,51,54,51,52,46,45,57,41,57,45
Oceania,Australia and New Zealand,Australia,AUS,362,347,366,341,302,259,281,255,261,263,231,248,243,245,243,236,227
Oceania,Australia and New Zealand,New Zealand,NZL,52,51,60,44,45,61,49,48,51,67,43,39,41,46,45,,
Oceania,Melanesia,Fiji,FJI,,,,25,23,23,22,21,17,29,20,20,20,19,20,,
Oceania,Melanesia,New Caledonia,NCL,,,,,,,8,12,11,8,,,,,,,
Oceania,Melanesia,Papua New Guinea,PNG,465,,,,,,610,520,,,,,,,,,
Oceania,Melanesia,Solomon Islands,SLB,,,,,20,26,23,26,19,,,,,,,,
Oceania,Melanesia,Vanuatu,VUT,5,,,,,5,,,,,5,,,,,6,
Oceania,Micronesia,Guam,GUM,2,8,2,8,9,7,11,1,1,5,3,4,,,,,
Oceania,Micronesia,Kiribati,KIR,3,4,,,,,,,7,1,4,11,8,,,,
Oceania,Micronesia,Micronesia,FSM,4,,,,,5,,,,,5,,,,,5,
Oceania,Micronesia,Nauru,,,,,,,,,,,,,, -   ,,,,
Oceania,Micronesia,Palau,PLW,,,,,,,,,,,,,1,,,,
Oceania,Polynesia,American Samoa,ASM,,1,7,3,4,6,4,1,3,2,5,5,2,3,3,4,3
Oceania,Polynesia,Cook Islands,COK,,,,,,,,,,,,,1,,,,
Oceania,Polynesia,French Polynesia,PYF,,,,,,,3,7,9,1,,,,,,,
Oceania,Polynesia,Niue,NIU,,,,,,,,,,,,, -   ,,,,
Oceania,Polynesia,Samoa,WSM,,,,,,,,,,16,16,,,6,,,
Oceania,Polynesia,Tonga,TON,1,6,6,6,2,4,8,1,4,8,1,2,1,,,,
Oceania,Polynesia,Tuvalu,TUV,,, -   , -   , -   , -   , -   , -   , -   , -   ,1,1,2,,,,
