Subregion,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Southern Europe,Albania,4.2,7,6.9,5.3,4.2,5,3.1,3.5,3.1,2.9,4.3,4.9,5.4,4.2,4,2.3,2.7
Southern Europe,Andorra,,,,,1.3,,, -   ,1.2, -   , -   ,1.2, -   , -   , -   , -   ,
Southern Europe,Bosnia and Herzegovina,2.6,2.2,2.4,,1.8,1.9,1.9,1.7,1.8,1.9,1.5,1.4,1.7,1.3,1.4,1.6,1.3
Southern Europe,Croatia,2.3,1.8,1.7,1.6,1.9,1.6,1.7,1.4,1.6,1.1,1.4,1.1,1.2,1.1,0.8,0.9,1
Southern Europe,Gibraltar,,,,,,,,,, -   ,3,,,,,,
Southern Europe,Greece,,1.2,0.8,1.1,1,1.2,1,1.1,1.3,1.3,1.5,1.6,1.5,1.4,0.9,0.8,0.8
Southern Europe,Holy See,,,,,,,,,, -   , -   , -   , -   , -   , -   , -   ,
Southern Europe,Italy,1.3,1.2,1.1,1.2,1.2,1,1.1,1.1,1,1,0.9,0.9,0.9,0.8,0.8,0.8,0.7
Southern Europe,Kosovo,,,,,,,,,6.5,4.1,6,3.5,5,2.2,2.3,1.7,1.6
Southern Europe,Malta,1,1.5,1.5, -   ,1.7,1, -   ,1,1.5,1,1,0.7,2.9,1.7,1.4,0.9,
Southern Europe,Montenegro,,,4.4,3.3,2.3,3.6,4,1.9,3.9,3.4,2.4,3.4,2.7,1.6,3.2,2.7,4.5
Southern Europe,Portugal,1.1,1,1.1,1.4,1.4,1.3,1.5,1.7,1.2,1.2,1.2,1.1,1.2,1.4,0.9,1,0.6
Southern Europe,San Marino, -   , -   ,3.6, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
Southern Europe,Serbia,2.4,2.6,2.1,1.9,1.8,1.6,1.7,1.9,1.5,1.7,1.4,1.5,1.2,1.6,1.4,1.2,1.4
Southern Europe,Slovenia,1.8,1.4,1.8,1.1,1.4,1,0.6,1.2,0.5,0.6,0.7,0.8,0.7,0.6,0.8,1,0.5
Southern Europe,Spain,1.4,1.4,1.3,1.4,1.2,1.2,1.1,1.1,0.9,0.9,0.9,0.8,0.8,0.6,0.7,0.7,0.6
Southern Europe,Macedonia,2.3,2.7,2.9,3.4,2.4,2.1,2.2,2,1.7,1.7,2.1,1.4,1.4,1.1,1.6,,
Western Europe,Austria,1,0.9,0.8,0.6,0.7,0.7,0.7,0.5,0.7,0.6,0.7,0.9,0.9,0.7,0.5,0.5,0.7
Western Europe,Belgium,2.1,2.7,3.1,2.2,2.6,2.1,2.1,2,1.9,1.7,1.7,1.9,1.8,1.8,1.9,1.9,
